Symbol,Interval,Trade_size,Total_Trades,Wins,Losses,SuccessRate,Total_profit,Trade_Type
NVDA,1D,100.0,5,5,0,100.00%,$1764.00,Long
NVDA,1D,100.0,5,4,1,80.00%,$470.00,Short
