symbol,Interval,Entry_date_time,Entry_price,Exit_date_time,Exit_price,Profit,Status
AMZN,5min,2024-07-05 12:15:00-04:00,199.96,2024-07-05 12:55:00-04:00,199.92,4.0,Win
AMZN,5min,2024-07-08 09:55:00-04:00,199.98,2024-07-08 10:55:00-04:00,199.77,21.0,Win
AMZN,5min,2024-07-08 11:55:00-04:00,199.91,2024-07-08 12:20:00-04:00,198.99,92.0,Win
AMZN,5min,2024-07-09 11:45:00-04:00,200.0,2024-07-09 12:35:00-04:00,199.76,24.0,Win
AMZN,5min,2024-07-09 14:55:00-04:00,200.28,2024-07-09 15:30:00-04:00,199.88,40.0,Win
AMZN,5min,2024-07-10 10:15:00-04:00,199.79,2024-07-10 10:40:00-04:00,198.13,166.0,Win
AMZN,5min,2024-07-10 11:50:00-04:00,198.34,2024-07-10 12:25:00-04:00,198.57,-23.0,Loss
AMZN,5min,2024-07-10 14:55:00-04:00,199.57,2024-07-10 15:20:00-04:00,199.48,9.0,Win
