symbol,Interval,Entry_date_time,Entry_price,Exit_date_time,Exit_price,Profit,Status
AMZN,5min,2024-07-05 13:00:00-04:00,200.0,2024-07-05 13:45:00-04:00,199.99,-1.0,Loss
AMZN,5min,2024-07-08 11:20:00-04:00,199.92,2024-07-08 11:45:00-04:00,199.81,-11.0,Loss
AMZN,5min,2024-07-08 14:30:00-04:00,198.5,2024-07-08 15:00:00-04:00,198.9,40.0,Win
AMZN,5min,2024-07-09 12:55:00-04:00,199.83,2024-07-09 13:15:00-04:00,199.6,-23.0,Loss
AMZN,5min,2024-07-10 09:35:00-04:00,199.82,2024-07-10 10:05:00-04:00,199.89,7.0,Win
AMZN,5min,2024-07-10 11:30:00-04:00,198.64,2024-07-10 11:55:00-04:00,198.43,-21.0,Loss
AMZN,5min,2024-07-10 12:20:00-04:00,198.49,2024-07-10 12:50:00-04:00,199.05,56.0,Win
