symbol,Interval,Entry_date_time,Entry_price,Exit_date_time,Exit_price,Profit,Status
TSLA,1D,2023-08-23 00:00:00-04:00,236.86,2023-08-31 00:00:00-04:00,258.08,2122.0,Win
TSLA,1D,2023-10-02 00:00:00-04:00,251.6,2023-10-12 00:00:00-04:00,258.87,727.0,Win
TSLA,1D,2023-11-03 00:00:00-04:00,219.96,2023-11-13 00:00:00-05:00,223.71,375.0,Win
TSLA,1D,2024-02-09 00:00:00-05:00,193.57,2024-02-21 00:00:00-05:00,194.77,120.0,Win
TSLA,1D,2024-03-21 00:00:00-04:00,172.82,2024-04-02 00:00:00-04:00,166.63,-619.0,Loss
TSLA,1D,2024-04-25 00:00:00-04:00,170.18,2024-05-01 00:00:00-04:00,179.99,981.0,Win
TSLA,1D,2024-06-12 00:00:00-04:00,177.29,2024-06-27 00:00:00-04:00,197.42,2013.0,Win
