symbol,Interval,Entry_date_time,Entry_price,Exit_date_time,Exit_price,Profit,Status
TSLA,1D,2023-09-20 00:00:00-04:00,262.59,2023-09-27 00:00:00-04:00,240.5,2209.0,Win
TSLA,1D,2023-10-13 00:00:00-04:00,251.12,2023-10-23 00:00:00-04:00,212.08,3904.0,Win
TSLA,1D,2024-01-02 00:00:00-05:00,248.42,2024-01-08 00:00:00-05:00,240.45,797.0,Win
TSLA,1D,2024-03-04 00:00:00-05:00,188.14,2024-03-08 00:00:00-05:00,175.34,1280.0,Win
TSLA,1D,2024-04-01 00:00:00-04:00,175.22,2024-04-18 00:00:00-04:00,149.93,2529.0,Win
TSLA,1D,2024-05-07 00:00:00-04:00,177.81,2024-06-07 00:00:00-04:00,177.48,33.0,Win
