Symbol,Interval,Trade_size,Total_Trades,Wins,Losses,SuccessRate,Total_profit,Trade_Type
TSLA,1D,100.0,7,6,1,85.71%,$5719.00,Long
TSLA,1D,100.0,6,6,0,100.00%,$10752.00,Short
