Date,Open,High,Low,Close,Volume
2024-07-02 14:52:00,229.66,229.66,229.63,229.63,2297
2024-07-02 14:53:00,229.56,230.24,229.53,230.06,6004
2024-07-02 14:54:00,230.1,230.42,229.87,230.42,4080
2024-07-02 14:55:00,230.42,230.42,229.98,230.17,4956
2024-07-02 14:56:00,229.94,230.18,229.94,230.18,3580
2024-07-02 14:57:00,230.0,230.4,230.0,230.29,4437
2024-07-02 14:58:00,230.46,230.58,230.29,230.42,11608
2024-07-02 14:59:00,230.42,230.56,230.12,230.29,6651
2024-07-02 15:00:00,230.29,230.4,230.16,230.27,9273
2024-07-02 15:01:00,230.5,230.68,230.49,230.68,5313
2024-07-02 15:02:00,230.71,230.93,230.55,230.93,7499
2024-07-02 15:03:00,230.63,231.03,230.33,230.33,14948
2024-07-02 15:04:00,230.54,230.7,230.27,230.43,4736
2024-07-02 15:05:00,230.53,230.69,230.39,230.39,4284
2024-07-02 15:06:00,230.5,230.7,230.3,230.66,8668
2024-07-02 15:07:00,230.7,230.82,230.31,230.44,5750
2024-07-02 15:08:00,230.44,230.63,230.29,230.39,2940
2024-07-02 15:09:00,230.52,230.53,230.34,230.34,4474
2024-07-02 15:10:00,230.24,230.55,230.24,230.48,2456
2024-07-02 15:11:00,230.45,230.76,230.36,230.6,5425
2024-07-02 15:12:00,230.51,230.77,230.5,230.66,4456
2024-07-02 15:13:00,230.56,230.75,230.33,230.33,4872
2024-07-02 15:14:00,230.46,230.46,229.89,230.28,8329
2024-07-02 15:15:00,230.44,230.9,230.44,230.63,9227
2024-07-02 15:16:00,230.83,230.83,230.27,230.54,2248
2024-07-02 15:17:00,230.55,230.66,230.27,230.54,9463
2024-07-02 15:18:00,230.54,230.67,230.46,230.65,2081
2024-07-02 15:19:00,230.74,230.8,230.57,230.6,4995
2024-07-02 15:20:00,230.6,230.66,230.12,230.28,9969
2024-07-02 15:21:00,230.2,230.24,229.69,229.89,12163
2024-07-02 15:22:00,229.99,230.07,229.85,230.0,12217
