Date,Open,High,Low,Close,Volume
2024-07-05 15:05:00,126.4,126.85,126.21,126.62,2987243
2024-07-05 15:10:00,126.63,126.92,126.57,126.73,1664869
2024-07-05 15:15:00,126.74,126.96,126.44,126.81,1977475
2024-07-05 15:20:00,126.79,127.0,126.68,126.96,1521816
2024-07-05 15:25:00,126.96,127.15,126.84,126.96,3076089
2024-07-05 15:30:00,126.96,127.25,126.93,127.22,1692862
2024-07-05 15:35:00,127.22,127.33,127.02,127.16,2022807
2024-07-05 15:40:00,127.15,127.27,126.93,126.99,1732334
2024-07-05 15:45:00,126.99,127.07,126.75,126.92,1761221
2024-07-05 15:50:00,126.92,127.12,126.87,127.0,1202747
2024-07-05 15:55:00,126.99,127.26,126.89,127.24,1425131
2024-07-05 16:00:00,127.25,127.56,127.23,127.35,2685291
2024-07-05 16:05:00,127.35,127.52,127.23,127.29,1561832
2024-07-05 16:10:00,127.28,127.85,127.28,127.8,1929910
2024-07-05 16:15:00,127.8,128.18,127.7,128.16,2853974
2024-07-05 16:20:00,128.17,128.47,127.84,127.9,3586502
2024-07-05 16:25:00,127.9,128.17,127.79,128.08,2022040
2024-07-05 16:30:00,128.06,128.17,127.77,127.82,1867853
2024-07-05 16:35:00,127.8,127.85,127.42,127.59,2015651
2024-07-05 16:40:00,127.59,127.75,127.31,127.33,1718446
2024-07-05 16:45:00,127.31,127.57,127.27,127.29,1426801
2024-07-05 16:50:00,127.32,127.55,127.27,127.46,1275054
2024-07-05 16:55:00,127.46,127.46,127.14,127.3,1618577
2024-07-05 17:00:00,127.3,127.48,127.15,127.26,1381515
2024-07-05 17:05:00,127.27,127.4,126.87,127.1,1810388
2024-07-05 17:10:00,127.1,127.33,127.08,127.27,1035794
2024-07-05 17:15:00,127.26,127.53,127.19,127.5,1259379
2024-07-05 17:20:00,127.5,127.64,127.39,127.58,1441437
2024-07-05 17:25:00,127.58,127.7,127.39,127.44,1246168
2024-07-05 17:30:00,127.45,127.48,127.27,127.34,1269936
2024-07-05 17:35:00,127.3,127.55,127.3,127.54,1278957
2024-07-05 17:40:00,127.52,127.54,127.12,127.39,1415400
2024-07-05 17:45:00,127.38,127.53,127.32,127.42,1014965
2024-07-05 17:50:00,127.41,127.56,127.36,127.44,1345395
2024-07-05 17:55:00,127.43,127.74,127.42,127.67,1356437
2024-07-05 18:00:00,127.67,127.73,127.35,127.4,1449379
2024-07-05 18:05:00,127.38,127.52,127.36,127.44,1051236
2024-07-05 18:10:00,127.44,127.67,127.44,127.62,1113847
2024-07-05 18:15:00,127.62,127.66,127.42,127.54,989869
2024-07-05 18:20:00,127.54,127.57,127.17,127.18,1383690
2024-07-05 18:25:00,127.18,127.33,126.91,126.94,1763296
2024-07-05 18:30:00,126.94,127.02,126.69,126.81,2244296
2024-07-05 18:35:00,126.83,126.99,126.77,126.88,1543159
2024-07-05 18:40:00,126.89,126.94,126.73,126.88,1386990
2024-07-05 18:45:00,126.88,126.96,126.76,126.82,1144156
2024-07-05 18:50:00,126.81,126.96,126.76,126.77,1051687
2024-07-05 18:55:00,126.77,127.18,126.77,127.1,1557278
2024-07-05 19:00:00,127.1,127.13,126.98,127.0,989280
