Symbol,Interval,Trade_size,Total_Trades,Wins,Losses,SuccessRate,Total_profit,Trade_Type
COIN,1min,500.0,27,23,4,85.19%,$7155.00,Long
COIN,1min,500.0,27,25,2,92.59%,$16745.00,Short
