Symbol,Interval,Trade_size,Total_Trades,Wins,Losses,SuccessRate,Total_profit,Trade_Type
AAPL,1min,100.0,29,25,4,86.21%,$768.00,Long
AAPL,1min,100.0,28,22,6,78.57%,$680.00,Short
