Symbol,Interval,Trade_size,Total_Trades,Wins,Losses,SuccessRate,Total_profit,Trade_Type
SPY,5min,100,4,4,0,100.00%,$287.00,Long
SPY,5min,100,4,3,1,75.00%,$46.00,Short
