timestamp,open,high,low,close,volume,max_high,min_low,midpoint,diff,smi_raw,smi,smi_signal,Buy_Signal,Sell_Signal,Short_Sell_Signal,Cover_Signal
2024-07-05 09:30:00-04:00,551.77,551.98,551.56,551.98,1004654,,,,,,,,False,False,False,False
2024-07-05 09:35:00-04:00,551.98,552.25,551.84,552.22,500091,,,,,,,,False,False,False,False
2024-07-05 09:40:00-04:00,552.24,552.35,552.08,552.22,355840,,,,,,,,False,False,False,False
2024-07-05 09:45:00-04:00,552.21,552.21,551.39,551.72,505996,,,,,,,,False,False,False,False
2024-07-05 09:50:00-04:00,551.73,552.29,551.7,552.17,347412,,,,,,,,False,False,False,False
2024-07-05 09:55:00-04:00,552.18,552.53,552.14,552.53,415625,,,,,,,,False,False,False,False
2024-07-05 10:00:00-04:00,552.54,552.78,552.24,552.47,568454,,,,,,,,False,False,False,False
2024-07-05 10:05:00-04:00,552.45,552.57,551.33,551.55,657445,,,,,,,,False,False,False,False
2024-07-05 10:10:00-04:00,551.54,551.92,551.12,551.79,477934,,,,,,,,False,False,False,False
2024-07-05 10:15:00-04:00,551.79,552.11,551.66,552.07,240961,,,,,,,,False,False,False,False
2024-07-05 10:20:00-04:00,552.06,552.22,551.78,552.09,241564,,,,,,,,False,False,False,False
2024-07-05 10:25:00-04:00,552.11,552.22,551.89,552.1,202588,,,,,,,,False,False,False,False
2024-07-05 10:30:00-04:00,552.1,552.42,551.89,552.25,511593,,,,,,,,False,False,False,False
2024-07-05 10:35:00-04:00,552.29,552.3,551.8,552.24,328084,552.78,551.12,551.95,1.6599999999999682,34.93975903614086,,,False,False,False,False
2024-07-05 10:40:00-04:00,552.24,552.57,552.17,552.57,326134,552.78,551.12,551.95,1.6599999999999682,74.69879518072487,,,False,False,False,False
2024-07-05 10:45:00-04:00,552.57,552.84,552.42,552.54,375325,552.84,551.12,551.98,1.7200000000000273,65.11627906976007,,,False,False,False,False
2024-07-05 10:50:00-04:00,552.55,552.74,552.35,552.58,211872,552.84,551.12,551.98,1.7200000000000273,69.76744186046665,,,False,False,False,False
